id,hash,name
sahara-mediterranean-restaurant-ithaca,HYR0_XYOGgH0Bh7wgbNkoA,Sahara Mediterranean Restaurant
neds-pizza-ithaca-2,dpqv-Gy6RLXXGnNrGZjOYw,Ned's Pizza
sals-pizzeria-ithaca,dl6eJ6sowYvlVaHPv1zvWQ,Sal's Pizzeria
fall-creek-house-ithaca,sBlXj41G7RPtFYCfnOlD0g,Fall Creek House
friends-and-pho-ithaca,8iogyg7am-idwzRYEmQvAQ,Friends & Pho
sopoong-ithaca-4,kH_1temJhPpwIKs8tjapVA,Sopoong
sammys-pizzeria-ithaca-2,XBuj07BYkcLa3W2kHilKtg,Sammy's Pizzeria
sacred-root-kava-lounge-and-tea-bar-ithaca-3,gxRWEghSeNtpICRkQzkcIw,Sacred Root Kava Lounge & Tea Bar
texas-roadhouse-ithaca-ithaca,uiG4OYuNO621geV52BjHtQ,Texas Roadhouse - Ithaca
apollo-restaurant-ithaca,0gmCzmFz99KDIedYc3eAvw,Apollo Restaurant
vietnam-restaurant-ithaca,G6eVUNDvfCiFy8ICavGScQ,Vietnam Restaurant
asian-noodle-house-ithaca,n9GCtjLzN9D2rL79KCljOA,Asian Noodle House
oishii-bowl-ithaca,HwuCZHFqHDrSGcug3p9KXg,Oishii Bowl
uncle-joes-ithaca,a_A8RcUn4-aNJJwN1-TXIw,Uncle Joe's
the-watershed-ithaca,rRnTrn2lHoSX7tSnylX6jg,The Watershed
sinfully-delicious-baking-co-ithaca,il56JmaefkRi8DW5jpFghQ,Sinfully Delicious Baking Co.
gangnam-station-ithaca,BRgMPd46utKLTAnPznnKhA,Gangnam Station
spring-buffet-and-grill-ithaca,7SYHfmqP7Xw_Wd0zZ5kTAQ,Spring Buffet & Grill
little-thai-house-ithaca,7Tp-J0La7FJtubAJpWd0nw,Little Thai House
the-big-red-barn-graduate-and-professional-student-center-ithaca,ZxDrqC_OeZMISQ9ZwiA8UQ,The Big Red Barn Graduate and Professional Student Center
manndible-cafe-ithaca,9E-HXTHRYatoSmB6OiVrFA,Manndible Cafe
the-regent-lounge-ithaca,KFYxAMLfNNjFQUoK3wPm_Q,The Regent Lounge
scale-house-brew-pub-ithaca,Dv3MJIreiNRa6iuLe_yfkg,Scale House Brew Pub
pokelava-ithaca,RiMF2ekc_bU2v9q852FC6w,Pokelava
u-tea-ithaca,1cUeZjD-KYx6vfcXEWsfRw,U Tea
napoli-pizzeria-ithaca-3,F55uj1Vi0TbjJl19KcNwQQ,Napoli Pizzeria
alley-cat-cafe-ithaca,cBqFwHZuc3Ngi4aIgjN_Bg,Alley Cat Cafe
ithaca-bakery-ithaca-2,oYMXnGiX9pFVe52isEVdgg,Ithaca Bakery
nikki-green-ithaca,06orPCQGTtLQJjzSSoTR9g,Nikki Green
ithaca-coffee-company-ithaca-3,9Le1M-P4jHpHaQceAJMWMw,Ithaca Coffee Company
italian-carry-out-ithaca,deiC4MxpjlCsSCnW6czpTw,Italian Carry Out
red-and-white-cafe-ithaca,tq7EA5dVkfTG-UNLNiMDyA,Red & White Cafe
collegetown-bagels-ithaca-5,6gaN0UkjVMJQJg8cykmh8Q,Collegetown Bagels
jacks-grill-ithaca,BfGlv6S_Is6OkIoOngAnLQ,Jack's Grill
shahi-pakwan-ithaca-2,Vguu5RgT7gWlB37FUFAwPw,Shahi Pakwan
panera-bread-ithaca,vWXMwnNy1TUAc4-IuFoE1g,Panera Bread
the-bistro-at-la-tourelle-ithaca,lncA9vgtds17wx47oyATQA,The Bistro at La Tourelle
miyake-japanese-restaurant-ithaca,8Zoh-M0oIQZ-uI3cpQ8bBg,Miyake Japanese Restaurant
silky-jones-ithaca,NrN-0SRAb33cVyTXHj3kPg,Silky Jones
caf�-jennie-ithaca,fjp5lETpkPvaaljCzAbpHw,Caf� Jennie
dibellas-subs-ithaca,5Q_MqV2gVoyWF_heXkVRUQ,DiBella's Subs
chanticleer-ithaca,ZHG5k1PBawdJ-DYMoFaMcg,Chanticleer
15-below-ice-cream-ithaca,fNNbzTWWWKrkDL7zTdxb2g,15 Below Ice Cream
firehouse-subs-ithaca,0CanmzUFWSRj4mp5egpYag,Firehouse Subs
monks-on-the-commons-ithaca,d2rjMl-d0ptxmPBnj1K4cQ,Monks On The Commons
insomnia-cookies-ithaca,MezkIKtuDY_vwE0SXyMbww,Insomnia Cookies
kellys-dockside-cafe-ithaca,c2rs0ig1YXFS3D9cQWshoA,Kelly's Dockside Cafe
starbucks-ithaca,onwnYRZAydT6_MjdG3uIkA,Starbucks
casablanca-pizzeria-ithaca,5MUes8izXroJxQZuV94e7A,Casablanca Pizzeria
jimmy-johns-ithaca,GeRh5XnPU8WukQHfE2URwg,Jimmy John's
kung-fu-tea-ithaca,1FkZoiHDAIQtknbK2G3ZXw,Kung Fu Tea
starbucks-ithaca-2,0Gea6WRvgkfPAAdAeEyz1A,Starbucks
plantation-bar-and-grill-ithaca-2,Gt6FEod3mBqbuigjHpRYCQ,Plantation Bar and Grill
quik-shoppe-and-krispy-krunchy-chicken-ithaca,alAFDS0G_JOZ-6UR70G_9A,Quik Shoppe & Krispy Krunchy Chicken
tian-jin-foods-ithaca,DnQwknnYIw7yCTrw_BeLaw,Tian Jin Foods
museum-of-the-earth-ithaca,xT9_g6g1V9wRFP3I5wmF7w,Museum of the Earth
capital-state-kitchen-incorporated-ithaca,fTmcFgYB77wZdQrv-nP0Pg,Capital State Kitchen Incorporated
chipotle-mexican-grill-ithaca,ybewokFnvF5TSnBsVXyUTA,Chipotle Mexican Grill
rogans-corner-ithaca,3QCY93kLbH29Cctus8IyKQ,Rogan's Corner
the-establishment-ithaca,09QMJJNUCcadmk0brs4LSg,The Establishment
ling-ling-garden-ithaca,uh1SSWqq0-IV_BY78Lpz_Q,Ling Ling Garden
northeast-pizza-and-beer-ithaca,Ror-3i2eib1r1dEwCfLMtA,Northeast Pizza & Beer
jade-garden-restaurant-ithaca-2,ejHduGcJr28ehsdSXaiZXw,Jade Garden Restaurant
college-town-pizza-ithaca,x_AUsCP73LBeTXnec1tqkg,College Town Pizza
gimme-coffee-ithaca-8,vRAXJZOU_B8DwIGwT-Ez7Q,Gimme! Coffee
moes-southwest-grill-ithaca,LnJ6x6oVib3AHRbg38ZzKw,Moe's Southwest Grill
enzo-s-pizzeria-ithaca,s-yxcrw9CJI91N-bADESSQ,Enzo's Pizzeria
buffalo-wild-wings-ithaca,2lJhvC4NzRXAUJd-Z61c9w,Buffalo Wild Wings
applebees-grill-bar-ithaca,WXtw9un5lYbAJKCqxHhYbg,Applebee's Grill + Bar
chilis-ithaca,bC3uxZuUamtFJOgFw_s4_w,Chili's
loco-cantina-ithaca-2,I-chJJ72VHd_-WAaRVWhTg,Loco Cantina
lous-hot-dog-stand-ithaca,Ojv_1Nf6Z1MWddehYpoAXg,Lou's Hot Dog Stand
capital-corner-restaurant-ithaca,3Ep-cHtiVbE6KpN6-mmMKA,Capital Corner Restaurant
macs-cafe-ithaca,I6QCXaOPrQa-i5zOHhRFBw,Mac's Cafe
pudgies-pizza-and-sub-shops-ithaca,tWQDyCxO3qXwwAWf-wwWBA,Pudgie's Pizza & Sub Shops
fat-boy-bakery-ithaca,KvOVqyZKMi1C_SMyCTrJeQ,Fat Boy Bakery
dennys-ithaca,xIeieT_QNMUChRdi8sNohQ,Denny's
trillium-ithaca,-4dfm4rBG5xv8sPSSmE5qA,Trillium
the-rhine-house-ithaca,D5ep_wKFqtoQRa58cQ03Fw,The Rhine House
